company_slug,company,careers_url,ats_platform,email_pattern,email_pattern_status,email_pattern_source,jobs_open_count,top_job_ids,contacts_count,contacts_by_type,referral_coverage,status,last_updated,notes
abaka_ai,Abaka AI,,,,unknown,,1,li_abaka_ai_machine_learning_engineer_4341002791,0,{},none,active,2026-08-23,
abridge,Abridge,,,,unknown,,3,li_abridge_software_engineer_generative_ai_4446557716;abridge_software_engineer_generative_ai_897709b2;abridge_software_engineer_intern_3f07a457,0,{},none,active,2026-08-23,
adobe,Adobe,,,,unknown,,1,li_adobe_senior_applied_scientist_4418514625,0,{},none,active,2026-08-23,
ai2,AI2,,,,unknown,,12,ai2_research_engineer_asta_gh_thealleninstitute_789;ai2_senior_research_engineer_olmo_molmo_gh_thealleninstitute_798;ai2_research_engineer_flexolmo_gh_thealleninstitute_781;ai2_research_scientist_asta_gh_thealleninstitute_772;ai2_senior_software_engineer_agent_frameworks_gh_thealleninstitute_787,0,{},none,active,2026-08-23,
amazon,Amazon,,,,unknown,,1,li_amazon_member_of_technical_staff_artificial_gen_4455905140,0,{},none,active,2026-08-23,
amazon_science,Amazon Science,,,,unknown,,1,li_amazon_science_applied_scientist_foundation_models_sso_4452841913,0,{},none,active,2026-08-23,
amazon_web_services_aws,Amazon Web Services (AWS),,,,unknown,,1,li_amazon_web_services_aws_applied_scientist_foundation_models_sso_4455906121,0,{},none,active,2026-08-23,
ambience_healthcare,Ambience Healthcare,,,,unknown,,1,ambience_healthcare_senior_machine_learning_engineer_6f44370e,0,{},none,active,2026-08-23,
amd,AMD,,,,unknown,,1,li_amd_forward_deployed_ai_research_scientist_4434583387,0,{},none,active,2026-08-23,
anduril_industries,Anduril Industries,,,,unknown,,1,li_anduril_industries_machine_learning_research_engineer_4410781418,0,{},none,active,2026-08-23,
anthropic,anthropic,,,,unknown,,38,anthropic_research_engineer_code_rl_reinforcement_learning_5254364008;anthropic_research_engineer_computer_use_5285246008;anthropic_software_engineer_rl_data_5238606008;anthropic_software_engineer_infrastructure_interpretability_5388612008;anthropic_research_engineer_domain_scaling_5271380008,8,"{""2nd"": 8}",weak,active,2026-08-23,
anyscale,Anyscale,,,,unknown,,2,anyscale_distributed_llm_inference_engineer_1cf38233;anyscale_machine_learning_engineer_customer_engineering_1466478e,0,{},none,active,2026-08-23,
apptronik,Apptronik,,,,unknown,,1,apptronik_robotics_software_intern_real_time_controls_gh_5985132004,0,{},none,active,2026-08-23,
arcadia,Arcadia,,,,unknown,,1,li_arcadia_forward_deployed_engineer_ai_agents_4443795896,0,{},none,active,2026-08-23,
arize_ai,Arize AI,,,,unknown,,4,arize_ai_devsecops_engineer_typescript_agentic_ai_gh_5980312004;arize_ai_forward_deployed_ai_engineer_east_gh_5993755004;arize_ai_forward_deployed_ai_engineer_west_gh_6030953004;arize_ai_open_source_ai_engineer_typescript_gh_6119757004,0,{},none,active,2026-08-23,
bandwidth_inc,Bandwidth Inc.,,,,unknown,,1,li_bandwidth_inc_ai_engineer_research_development_4416598983,0,{},none,active,2026-08-23,
baseten,Baseten,,,,unknown,,9,baseten_post_training_research_engineer_68328a94;baseten_post_training_research_scientist_7c9d2bb0;baseten_software_engineer_voice_ai_inference_runtime_6e396eb7;baseten_ai_inference_engineer_db6477fc;baseten_frontend_engineer_dedicated_inference_3622a1ee,0,{},none,active,2026-08-23,
benchling,Benchling,,,,unknown,,1,li_benchling_agentic_ai_engineer_4418470446,0,{},none,active,2026-08-23,
biohub,Biohub,,,,unknown,,1,li_biohub_research_engineer_ai_4398462870,0,{},none,active,2026-08-23,
bosch_usa,Bosch USA,,,,unknown,,1,li_bosch_usa_ai_research_engineer_agentic_ai_4452862947,0,{},none,active,2026-08-23,
boson_ai,Boson AI,,,,unknown,,1,li_boson_ai_member_of_technical_staff_agent_platform_4266777241,0,{},none,active,2026-08-23,
browserbase,Browserbase,,,,unknown,,2,browserbase_software_engineer_agent_platform_7724fbe3;browserbase_business_development_intern_b81701e4,0,{},none,active,2026-08-23,
cartesia,Cartesia,,,,unknown,,5,li_cartesia_researcher_post_training_4317542784;cartesia_applied_researcher_audio_post_training_eeac6a77;cartesia_software_engineer_agents_16cd6cd7;cartesia_inference_engineer_bd9d6688;cartesia_research_engineer_audio_understanding_38826565,3,"{""2nd"": 3}",weak,active,2026-08-23,
