job_id,company,title,location,job_url,canonical_application_url,source,date_discovered,date_posted,date_updated,status,fit_score,fit_tier,role_family,seniority,key_requirements,matching_strengths,main_gaps,resume_variant,networking_priority,application_priority,last_checked,notes,full_description_hash,description_file,is_medical_false_positive,company_slug,source_id,stale_flag,last_verified,merged_from,opportunity_level,recommended_action,priority_v2,score_explanation,score_confidence,missing_info,override_reason,last_scored,ats_score,keyword_match_score,keyword_matched,keyword_missing,ats_issues,last_ats_check,review_flag,application_status,application_ids,referral_contacts,referral_contact_urls,days_since_checked
cisco_ai_research_scientist_ii_full_time_united_sta_4457502830,Cisco,AI Research Scientist II (Full Time)- United States ENG/CPO/AISWP ETR,"San Francisco, CA",https://www.linkedin.com/jobs/view/4457502830/,https://www.linkedin.com/jobs/view/4457502830/,linkedin,2026-08-22,2026-08-21,2026-08-24,open,0,C,eval_inference,unknown,"agent, agentic, cyber, evaluation, fine-tuning, inference, llm, machine learning, post-training, python, pytorch, research, security",,,applied_research_v2,,high,2026-08-22,L1 security-AI sweep 2026-08-22; years_bar=2; security_domain=True [connections:3 @company: Sonam Verma (Strategic Talent Advisor (Hiri); Aditya Ramesh (ML @ Cisco); Ishaan Sathaye (SWE (MS @ Georgia Tech))],8612ad0868464345,tracking/job_descriptions/active/cisco__ai_research_scientist_ii_full_time_united_states_e__4457502830.md,,cisco,li_4457502830,false,,,L2,APPLY,68.9,"fit=12.0 research=7.09(+agentic,evaluation,experimentation,fine-tuning,inference optimization) tech=5.86 agentic=4.68(+agent framework,agentic,multi-agent) pt=1.85(+post-training) attainability=14.5['accepts_transferable'] advantage=4.4['security_ai_company', 'security_domain_relevance', 'existing_connection_or_referral'] company=6.0 strategy=6.0 referral=0.5 loc=3.0 urgency=3.0",medium,visa sponsorship unverified,,2026-08-26,56.7,27.8,agentic ai; data pipelines; docker; inference; machine learning; optimization; python; pytorch; vllm,golang; transformers; onnx; opensearch; elasticsearch; hugging face; ray; distributed systems; model serving; deep learning,,2026-08-23,completed,,,,,4
scale_ai_senior_staff_machine_learning_research_engineer_ge_4658162005,scale_ai,"Senior/Staff Machine Learning Research Engineer, General Agents, Enterprise GenAI","San Francisco, CA; New York, NY",https://job-boards.greenhouse.io/scaleai/jobs/4658162005,https://job-boards.greenhouse.io/scaleai/jobs/4658162005,greenhouse,2026-08-23,,,open,0,,agentic_ai,unknown,"You will work across the full agent lifecycle—from model and system design to evaluation, deployment, and iteration—bridging cutting-edge agentic techniques with the constraints and requirements of re | The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position and may be inclusive of several career levels at Scale; it will be determined dur",agentic RAG systems (Fortinet); RAG pipelines (Fortinet); Python; RL coursework + PPO/GRPO research (GT); PPO research (CAD); LLM evaluation work; agent systems (ATHENA supervisor-worker); multi-agent architecture (ATHENA); tool-use integration,,,,,2026-08-23,lab deep-sweep 2026-08-23; board=greenhouse; us_location=yes,bb83119e6b22f275,tracking/job_descriptions/active/scale_ai__senior_staff_machine_learning_research_engineer_ge__4658162005.md,,scale_ai,gh_4658162005,,2026-08-23,,L3,OPTIMISTIC,62.7,"fit=14.0 research=6.82(+agentic,agents,evaluation,fine-tuning,grpo) tech=1.35 agentic=7.79(+agent framework,agentic,multi-agent,orchestration) pt=2.46(+grpo,reinforcement learning,sft) attainability=13.0['accepts_transferable'] advantage=0.8['fortinet_adjacency'] company=6.0 strategy=6.0 referral=0.5 loc=3.0 urgency=1.0",low,date_posted unknown; visa sponsorship unverified,,2026-08-26,40.9,11.1,machine learning; optimization; ppo; python; rag,golang; pytorch; vllm; transformers; onnx; opensearch; elasticsearch; hugging face; ray; distributed systems,posting date unknown/unparseable,2026-08-23,,,,,,3
scale_ai_staff_senior_machine_learning_research_engineer_4714527005,scale_ai,Staff/Senior Machine Learning Research Engineer,"San Francisco, CA; New York, NY",https://job-boards.greenhouse.io/scaleai/jobs/4714527005,https://job-boards.greenhouse.io/scaleai/jobs/4714527005,greenhouse,2026-08-23,,,open,0,,agent_reasoning,unknown,"Learning Research Engineer, you will operate across the full breadth of AIS’s technical needs — wherever the hardest ML problem in agentic AI happens to be that quarter. | Deployed Engineers to take your work from idea to production and translate enterprise and government requirements into robust ML capabilities&lt;/li&gt; &lt;li&gt;Set AI/ML technical direction, mentor | Engineering, or a related field&lt;/li&gt; &lt;li&gt;Broad, hands-on fluency across the agentic ML stack — model training and fine-tuning (SFT, RLHF/RLAIF, reward modeling), evaluation and observabili | The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position and may be inclusive of several career levels at Scale; it will be determined dur",agentic RAG systems (Fortinet); RAG pipelines (Fortinet); retrieval systems; RLHF familiarity; PPO research (CAD); reward modeling exposure; LLM evaluation work; agent systems (ATHENA supervisor-worker); multi-agent architecture (ATHENA); tool-use integration; patented ML work (PCT/IN2022/058026),,,,,2026-08-23,lab deep-sweep 2026-08-23; board=greenhouse; us_location=yes,f8dc165dbfad00e6,tracking/job_descriptions/active/scale_ai__staff_senior_machine_learning_research_engineer__4714527005.md,,scale_ai,gh_4714527005,,2026-08-23,,L3,OPTIMISTIC,61.1,"fit=10.0 research=8.86(+agentic,agents,alignment,evaluation,experimentation) tech=1.35 agentic=5.19(+agentic,multi-agent,orchestration,tool use) pt=6.15(+alignment,reward model,reward modeling,rlaif) attainability=12.0['accepts_transferable'] advantage=2.0['security_domain_relevance', 'fortinet_adjacency'] company=6.0 strategy=5.0 referral=0.5 loc=3.0 urgency=1.0",low,date_posted unknown; visa sponsorship unverified,,2026-08-26,42.1,13.0,agentic ai; inference; machine learning; optimization; ppo; rag,golang; pytorch; vllm; transformers; onnx; opensearch; elasticsearch; python; hugging face; ray,posting date unknown/unparseable,2026-08-23,,,,,,3
mistral_ai_ai_scientist_agentic_engineering_ash_f090ef1d,Mistral AI,AI Scientist - Agentic Engineering,Paris,https://jobs.ashbyhq.com/mistral.ai/f090ef1d-372e-40dc-bf46-ce0bf2850204,https://jobs.ashbyhq.com/mistral.ai/f090ef1d-372e-40dc-bf46-ce0bf2850204,ashby,2026-08-23,2026-08-19,,open,0,,eval_inference,unknown,"The Role Mistral is looking for AI Scientists with deep ML expertise and hands-on engineering experience to expand what our agentic tools can do across the engineering lifecycle — CAE (CFD, FEA, etc.) | Deep, hands-on machine learning expertise, particularly LLM development. | Demonstrated experience running, debugging, and validating real engineering workflows in at least one of CAD, CAE, semiconductor simulation, or EDA. | Have experience building or fine-tuning agentic systems (tool use, multi-step planning, agent orchestration frameworks). | Have experience with reward modeling, RLHF/RLAIF/RLVR, or preference-based training. | Have industrial or academic experience with CAE or EDA tools (e.g.",agentic RAG systems (Fortinet); RAG pipelines (Fortinet); Python; RLHF familiarity; PPO research (CAD); reward modeling exposure; post-training research alignment; LLM evaluation work; benchmarking; tool-use integration,publications at top venues,,,,2026-08-23,lab deep-sweep 2026-08-23; board=ashby; us_location=check,3bc780926cc69a6a,tracking/job_descriptions/active/mistral_ai__ai_scientist_agentic_engineering__f090ef1d-372e-40.md,,mistral_ai,ashby_f090ef1d-372e-40dc-bf46-ce0bf2850204,,2026-08-23,,L3,OPTIMISTIC,60.7,"fit=10.0 research=8.45(+agentic,alignment,benchmark,evaluation,fine-tuning) tech=1.35 agentic=3.64(+agentic,orchestration,tool use) pt=8.0(+alignment,post-training,preference,reward model) attainability=11.5['no_years_bar'] advantage=2.0['security_domain_relevance', 'fortinet_adjacency'] company=4.8 strategy=6.0 referral=0.5 loc=1.5 urgency=3.0",medium,visa sponsorship unverified,,2026-08-26,45.6,9.3,machine learning; ppo; python; rag,golang; pytorch; vllm; transformers; onnx; opensearch; elasticsearch; hugging face; ray; distributed systems,,2026-08-23,,,,,,3
together_ai_research_engineer_post_training_5179372007,together_ai,"Research Engineer, Post-Training Inference",San Francisco,https://job-boards.greenhouse.io/togetherai/jobs/5179372007,https://job-boards.greenhouse.io/togetherai/jobs/5179372007,greenhouse,2026-08-19,2026-07-06,2026-08-24,open,92,A,post_training,Mid-level,"Shaping, you will develop a platform that enables users to customize open-source models with their own data. | Working across the training and inference stacks, you will build and improve our Fine-Tuning, Reinforcement. | You will collaborate closely with our product, research, and engineering teams to keep the API reliable, performant, and well integrated into the company's technical infrastructure. | Above all, you will help build the foundational layer of the open-source AI ecosystem, enabling developers around the world to efficiently create high-quality models tailored to their specific applica | Have 2+ years of experience building and deploying machine learning-based services in a production environment. | Have hands-on experience with modern inference engines, such as SGLang, vLLM, and TensorRT-LLM Are familiar with the latest methods for fine-tuning LLMs and other AI models. | Have a strong software engineering background in Python or Go Stay up to date with the latest advance",vLLM inference; Python; RL coursework + PPO/GRPO research (GT); PPO research (CAD); post-training research alignment; LLM evaluation work; Kubernetes,,RL_Post_Training,high,low,2026-08-19,[dedup:2026-08-22: merged 1 duplicate row(s) by source_id gh_5179372007] EXCELLENT fit - direct match to post-training + inference optimization research. Recent posting.,d660b43e7d097259,tracking/job_descriptions/active/togetherai__Research_Engineer_Post_Training_Inference__5179372007.md,false,together_ai,gh_5179372007,false,2026-08-23,togetherai_research_engineer_post_training_inference_5179372007,L3,OPTIMISTIC,57.7,"fit=14.0 research=5.59(+alignment,evaluation,fine-tuning,grpo,inference optimization) tech=4.05 agentic=0.0(+) pt=4.31(+alignment,grpo,post-training,reinforcement learning) attainability=12.0[] advantage=1.2['security_domain_relevance'] company=6.0 strategy=6.0 referral=0.5 loc=3.0 urgency=1.0",medium,visa sponsorship unverified,,2026-08-26,53.4,22.3,cuda; go; inference; machine learning; optimization; ppo; python; vllm,golang; pytorch; transformers; onnx; opensearch; elasticsearch; hugging face; ray; distributed systems; model serving,,2026-08-23,,,,,,7
scale_ai_machine_learning_systems_research_engineer_agent_p_4625341005,scale_ai,"Machine Learning Systems Research Engineer, Agent Post-training - Enterprise GenAI","San Francisco, CA; New York, NY",https://job-boards.greenhouse.io/scaleai/jobs/4625341005,https://job-boards.greenhouse.io/scaleai/jobs/4625341005,greenhouse,2026-08-23,,,open,0,,eval_inference,unknown,"For 9 years, Scale has been the leading AI data foundry, helping fuel the most exciting advancements in AI, including generative AI, defense applications, and autonomous vehicles. | If you are excited about shaping the future of the modern AI movement, we would love to hear from you!&lt;/p&gt; &lt;p&gt;&lt;strong&gt;You will:&amp;nbsp;&lt;/strong&gt;&lt;/p&gt; &lt;ul&gt; &lt;li&g | The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position and may be inclusive of several career levels at Scale; it will be determined dur",RAG pipelines (Fortinet); PyTorch; RLHF familiarity; GRPO research (CAD); PPO research (CAD); post-training research alignment; LLM evaluation work; agent systems (ATHENA supervisor-worker); multi-agent architecture (ATHENA),production LLM deployment at scale; PhD-level research track record; CUDA/GPU kernel work,,,,2026-08-23,lab deep-sweep 2026-08-23; board=greenhouse; us_location=yes,ef0eed2139a9d1e9,tracking/job_descriptions/active/scale_ai__machine_learning_systems_research_engineer_agent_p__4625341005.md,,scale_ai,gh_4625341005,,2026-08-23,,L3,OPTIMISTIC,57.2,"fit=14.0 research=4.64(+agents,alignment,evaluation,grpo,post-training) tech=4.05 agentic=1.56(+multi-agent) pt=4.92(+alignment,grpo,post-training,rlhf) attainability=9.5['accepts_transferable'] advantage=2.0['security_domain_relevance', 'fortinet_adjacency'] company=6.0 strategy=6.0 referral=0.5 loc=3.0 urgency=1.0",low,date_posted unknown; visa sponsorship unverified,,2026-08-26,48.7,24.1,cuda; inference; machine learning; optimization; ppo; pytorch; rag; transformers,golang; vllm; onnx; opensearch; elasticsearch; python; hugging face; ray; distributed systems; model serving,posting date unknown/unparseable,2026-08-23,,,,,,3
scale_ai_staff_frontier_agents_engineer_applied_ai_4720487005,scale_ai,Staff Frontier Agents Engineer (Applied AI),"San Francisco, CA; New York, NY",https://job-boards.greenhouse.io/scaleai/jobs/4720487005,https://job-boards.greenhouse.io/scaleai/jobs/4720487005,greenhouse,2026-08-23,,,open,0,,agentic_ai,unknown,"You&#39;ll work across diverse industries, datasets, model architectures, and agentic systems, rapidly developing intuition for what makes AI systems successful in production.&lt;/p&gt; &lt;h2&gt;&lt; | Qualifications&lt;/strong&gt;&lt;/h2&gt; &lt;ul&gt; &lt;li&gt;8+ years of software engineering, machine learning, or applied AI experience.&lt;/li&gt; &lt;li&gt;Strong Python programming skills.&lt;/l | Qualifications&lt;/strong&gt;&lt;/h2&gt; &lt;h3&gt;&lt;strong&gt;Applied AI&lt;/strong&gt;&lt;/h3&gt; &lt;ul&gt; &lt;li&gt;Experience building production AI agents or autonomous systems.&lt;/li&gt; &l | Engineering&lt;/strong&gt;&lt;/h3&gt; &lt;ul&gt; &lt;li&gt;Experience building distributed production systems.&lt;/li&gt; &lt;li&gt;Experience with cloud platforms such as AWS, Azure, or GCP.&lt;/li&g | Engineering&lt;/strong&gt;&lt;/h3&gt; &lt;ul&gt; &lt;li&gt;Experience working directly with enterprise customers.&lt;/li&gt; &lt;li&gt;Ability to translate ambiguous business problems into",agentic RAG systems (Fortinet); RAG pipelines (Fortinet); retrieval systems; Python; RL coursework + PPO/GRPO research (GT); PPO research (CAD); LLM evaluation work; benchmarking; agent systems (ATHENA supervisor-worker); multi-agent architecture (ATHENA); tool-use integration; Docker; Kubernetes,,,,,2026-08-23,lab deep-sweep 2026-08-23; board=greenhouse; us_location=yes,6947d0dc27c733c8,tracking/job_descriptions/active/scale_ai__staff_frontier_agents_engineer_applied_ai__4720487005.md,,scale_ai,gh_4720487005,,2026-08-23,,L3,OPTIMISTIC,56.1,"fit=10.0 research=11.45(+agentic,agents,benchmark,evaluation,experimentation) tech=1.8 agentic=5.71(+agent framework,agentic,multi-agent,tool use) pt=1.85(+grpo,reinforcement learning) attainability=8.0[] advantage=0.8['fortinet_adjacency'] company=6.0 strategy=6.0 referral=0.5 loc=3.0 urgency=1.0",low,date_posted unknown; visa sponsorship unverified,,2026-08-26,42.1,13.0,docker; machine learning; optimization; ppo; python; rag,golang; pytorch; vllm; transformers; onnx; opensearch; elasticsearch; hugging face; ray; distributed systems,posting date unknown/unparseable,2026-08-23,,,,,,3
scale_ai_machine_learning_research_engineer_agents_enterpri_4625344005,scale_ai,"Machine Learning Research Engineer, Agents - Enterprise GenAI","San Francisco, CA; New York, NY",https://job-boards.greenhouse.io/scaleai/jobs/4625344005,https://job-boards.greenhouse.io/scaleai/jobs/4625344005,greenhouse,2026-08-23,,,open,0,,post_training,unknown,"For 9 years, Scale has been the leading AI data foundry, helping fuel the most exciting advancements in AI, including generative AI, defense applications, and autonomous vehicles. | This will involve creating best-in-class Agents that achieve state of the art results through a combination of post-training + agent-building algorithms.&lt;/p&gt; &lt;p&gt;If you are excited about sh | The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position and may be inclusive of several career levels at Scale; it will be determined dur",RAG pipelines (Fortinet); RLHF familiarity; GRPO research (CAD); PPO research (CAD); post-training research alignment; LLM evaluation work; benchmarking; agent systems (ATHENA supervisor-worker); multi-agent architecture (ATHENA),production LLM deployment at scale; PhD-level research track record; publications at top venues,,,,2026-08-23,lab deep-sweep 2026-08-23; board=greenhouse; us_location=yes,00f1529e34e751b2,tracking/job_descriptions/active/scale_ai__machine_learning_research_engineer_agents_enterpri__4625344005.md,,scale_ai,gh_4625344005,,2026-08-23,,L4,STRETCH,54.8,"fit=14.0 research=6.27(+agents,alignment,benchmark,evaluation,grpo) tech=0.0 agentic=1.56(+multi-agent) pt=4.92(+alignment,grpo,post-training,rlhf) attainability=9.5['accepts_transferable'] advantage=2.0['security_domain_relevance', 'fortinet_adjacency'] company=6.0 strategy=6.0 referral=0.5 loc=3.0 urgency=1.0",low,date_posted unknown; visa sponsorship unverified,,2026-08-26,37.6,5.6,machine learning; ppo; rag,golang; pytorch; vllm; transformers; onnx; opensearch; elasticsearch; python; hugging face; ray,posting date unknown/unparseable,2026-08-23,,,,,,3
scale_ai_staff_machine_learning_research_engineer_agent_pos_4625337005,scale_ai,"Staff Machine Learning Research Engineer, Agent Post-training - Enterprise GenAI","San Francisco, CA; New York, NY",https://job-boards.greenhouse.io/scaleai/jobs/4625337005,https://job-boards.greenhouse.io/scaleai/jobs/4625337005,greenhouse,2026-08-23,,,open,0,,post_training,unknown,"For 9 years, Scale has been the leading AI data foundry, helping fuel the most exciting advancements in AI, including generative AI, defense applications, and autonomous vehicles. | As a Staff Agent Post-Training MLRE, you will build out our next-gen Agent RL training platform. | If you are excited about shaping the future of the modern GenAI movement, we would love to hear from you!&lt;/p&gt; &lt;p&gt;&lt;strong&gt;You will:&amp;nbsp;&lt;/strong&gt;&lt;/p&gt; &lt;ul&gt; &lt;l | The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position and may be inclusive of several career levels at Scale; it will be determined dur",RAG pipelines (Fortinet); RLHF familiarity; GRPO research (CAD); PPO research (CAD); post-training research alignment; LLM evaluation work; agent systems (ATHENA supervisor-worker); multi-agent architecture (ATHENA),production LLM deployment at scale; PhD-level research track record; publications at top venues,,,,2026-08-23,lab deep-sweep 2026-08-23; board=greenhouse; us_location=yes,8081d4e3f571d354,tracking/job_descriptions/active/scale_ai__staff_machine_learning_research_engineer_agent_pos__4625337005.md,,scale_ai,gh_4625337005,,2026-08-23,,L4,STRETCH,53.9,"fit=14.0 research=5.45(+agents,alignment,evaluation,grpo,post-training) tech=0.0 agentic=1.56(+multi-agent) pt=4.92(+alignment,grpo,post-training,rlhf) attainability=9.5['accepts_transferable'] advantage=2.0['security_domain_relevance', 'fortinet_adjacency'] company=6.0 strategy=6.0 referral=0.5 loc=3.0 urgency=1.0",low,date_posted unknown; visa sponsorship unverified,,2026-08-26,37.6,5.6,machine learning; ppo; rag,golang; pytorch; vllm; transformers; onnx; opensearch; elasticsearch; python; hugging face; ray,posting date unknown/unparseable,2026-08-23,,,,,,3
scale_ai_frontier_agents_engineer_forward_deployed_engineer_4694861005,scale_ai,Frontier Agents Engineer (Forward Deployed Engineering),"San Francisco, CA; New York, NY",https://job-boards.greenhouse.io/scaleai/jobs/4694861005,https://job-boards.greenhouse.io/scaleai/jobs/4694861005,greenhouse,2026-08-23,,,open,0,,agentic_ai,unknown,"Applied AI teams to continuously improve the platform.&lt;/li&gt; &lt;/ul&gt; &lt;h2&gt;&lt;strong&gt;What Makes This Role Different&lt;/strong&gt;&lt;/h2&gt; &lt;p&gt;You&#39;ll work across the full  | Qualifications&lt;/strong&gt;&lt;/h2&gt; &lt;ul&gt; &lt;li&gt;4+ years of software engineering experience with strong fundamentals in distributed systems, data structures, algorithms, and system desig | Qualifications&lt;/strong&gt;&lt;/h2&gt; &lt;h3&gt;&lt;strong&gt;Enterprise AI Engineering&lt;/strong&gt;&lt;/h3&gt; &lt;ul&gt; &lt;li&gt;Experience deploying production AI agents or autonomous system | Engineering&lt;/strong&gt;&lt;/h3&gt; &lt;ul&gt; &lt;li&gt;Experience working directly with enterprise customers.&lt;/li&gt; &lt;li&gt;Ability to translate complex technical requirements into scalable | The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position and may be inclusive of several career levels at Scale; it will be de",RAG pipelines (Fortinet); retrieval systems; Python; PPO research (CAD); LLM evaluation work; benchmarking; agent systems (ATHENA supervisor-worker); tool-use integration; Docker; Kubernetes; distributed systems,production LLM deployment at scale; Kubernetes/cloud infra,,,,2026-08-23,lab deep-sweep 2026-08-23; board=greenhouse; us_location=yes,53f09acc7dd832fa,tracking/job_descriptions/active/scale_ai__frontier_agents_engineer_forward_deployed_engineer__4694861005.md,,scale_ai,gh_4694861005,,2026-08-23,,L4,STRETCH,53.6,"fit=10.0 research=7.23(+agents,benchmark,evaluation,experimentation,memory) tech=2.25 agentic=3.64(+agent framework,orchestration,tool use) pt=0.0(+) attainability=12.0[] advantage=2.0['security_domain_relevance', 'fortinet_adjacency'] company=6.0 strategy=6.0 referral=0.5 loc=3.0 urgency=1.0",low,date_posted unknown; visa sponsorship unverified,,2026-08-26,42.1,13.0,distributed systems; docker; ppo; python; rag,golang; pytorch; vllm; transformers; onnx; opensearch; elasticsearch; hugging face; ray; model serving,posting date unknown/unparseable,2026-08-23,,,,,,3
